mSec,N-M,Degrees,Degrees,Deg/Sec
4720,32.4,195,60,0
4730,32.5,195,60,0
4740,32.5,195,60,0
4750,32.4,195,60,0
4760,32.3,195,60,0
4770,32.3,195,60,0
4780,32.3,195,60,0
4790,32.3,195,60,0
4800,32.3,195,60,0
4810,32.3,195,60,0
4820,32.3,195,60,0
4830,32.1,195,60,0
4840,32.1,195,60,0
4850,32.3,195,60,0
4860,32.3,195,60,0
4870,32.3,195,60,0
4880,32.1,195,60,0
4890,32.1,195,60,0
4900,32.1,195,60,0
4910,32.3,195,60,0
4920,32.3,195,60,0
4930,32.3,195,60,0
4940,32.1,195,60,0
4950,32.1,195,60,0
4960,32.1,195,60,0
4970,32.1,195,60,0
4980,32.1,195,60,0
4990,32.1,195,60,0
5000,32.1,195,60,0
5010,32.1,195,60,0
5020,32.1,195,60,0
5030,32.1,195,60,0
5040,32,195,60,0
5050,31.9,195,60,0
5060,31.7,195,60,0
5070,31.7,195,60,0
5080,31.7,195,60,0
5090,31.7,195,60,0
5100,31.7,195,60,0
5110,31.7,195,60,0
5120,31.7,195,60,0
5130,31.7,195,60,0
5140,31.7,195,60,0
5150,31.9,195,60,0
5160,31.9,195,60,0
5170,31.7,195,60,0
5180,31.7,195,60,0
5190,31.7,195,60,0
5200,31.9,195,60,0
5210,31.9,195,60,0
5220,31.9,195,60,0
5230,31.9,195,60,0
5240,32,195,60,0
5250,32,195,60,0
5260,32,195,60,0
5270,32,195,60,0
5280,32,195,60,0
5290,32,195,60,0
5300,31.9,195,60,0
5310,31.7,195,60,0
5320,31.7,195,60,0
5330,31.7,195,60,0
5340,31.6,195,60,0
5350,31.5,195,60,0
5360,31.5,195,60,0
5370,31.3,195,60,0
5380,31.2,195,60,0
5390,31.2,195,60,0
5400,31.3,195,60,0
5410,31.3,195,60,0
5420,31.2,195,60,0
5430,31.2,195,60,0
5440,31.2,195,60,0
5450,31.1,195,60,0
5460,31.1,195,60,0
5470,31.1,195,60,0
5480,31.1,195,60,0
5490,31.1,195,60,0
5500,31.2,195,60,0
5510,31.2,195,60,0
5520,31.3,195,60,0
5530,31.2,195,60,0
5540,31.2,195,60,0
5550,31.1,195,60,0
5560,31.1,195,60,0
5570,31.1,195,60,0
5580,31.1,195,60,0
5590,31.2,195,60,0
5600,31.2,195,60,0
5610,31.2,195,60,0
5620,31.3,195,60,0
5630,31.3,195,60,0
5640,31.3,195,60,0
5650,31.3,195,60,0
5660,31.3,195,60,0
5670,31.3,195,60,0
5680,31.3,195,60,0
5690,31.5,195,60,0
5700,31.5,195,60,0
5710,31.5,195,60,0
5720,31.5,195,60,0
5730,31.5,195,60,0
5740,31.5,195,60,0
5750,31.5,195,60,0
5760,31.5,195,60,0
5770,31.5,195,60,0
5780,31.5,195,60,0
5790,31.6,195,60,0
5800,31.7,195,60,0
5810,31.7,195,60,0
5820,31.7,195,60,0
5830,31.7,195,60,0
5840,31.7,195,60,0
5850,31.7,195,60,0
5860,31.7,195,60,0
5870,31.7,195,60,0
5880,31.7,195,60,0
5890,31.9,195,60,0
5900,32,195,60,0
5910,32.1,195,60,0
5920,32.1,195,60,0
5930,32.1,195,60,0
